AccusedRef,FirstName,LastName,Alias,DesTitle,Sex,Res_settlement,Res_parish,Res_presbytery,Res_county,MaritalStatus,Occupation,Notes
A/EGD/1123,Agnes,Falconer,,,Female,,P/ST/804,Chirnside,Berwick,,,
A/EGD/1124,Margaret,Alexander,,,Female,Pickiltillane,,Haddington,Haddington,,,"Accused named by Alexander Hamilton, warlock."
A/EGD/1125,Agnes,Sinclare,,,Female,Burnehead,,Haddington,Haddington,,,"Named along with several others by Alexander Hamilton, warlock."
A/EGD/1126,Bessie,Lawder,,,Female,Nunland,,Haddington,Haddington,,,"Named along with several others by Alexander Hamilton, warlock."
A/EGD/1127,Katherine,Lawder,,,Female,Stobstane,,Haddington,Haddington,,,"Accused named by Alexander Hamilton, warlock."
A/EGD/1128,Bessie,Duncan,,,Female,Walkerland,,Haddington,Haddington,,,"Accused named by Alexander Hamilton, warlock."
A/EGD/1129,Margaret,Mitchell,,,Female,,P/JO/3539,Haddington,Haddington,,,"Named along with seveal others by Alexander Hamilton, warlock"
A/EGD/113,Francis,"Stewart, Earl of Bothwell",,Earl,Male,,,,,,,
A/EGD/1130,Alesoun,Carrick,,,Female,,P/JO/3539,Haddington,Haddington,,,"Named by Alexander Hamilton, warlock, and called to confront him along with other suspects."
A/EGD/1131,Katherine,Kirktoun,,,Female,,P/JO/3539,Haddington,Haddington,,,"Named by Alexander Hamilton, warlock."
A/EGD/1132,Bessie,Hepburne,,,Female,,P/JO/3539,Haddington,Haddington,Widowed,,"Named by Alexander Hamilton, warlock. Son put up bail of 3000 merks for his mother and so was most likely an adult himself. This amount of money suggests that the family were upper s/e level and either had money or had access to it."
A/EGD/1133,Barbara,Wod,,,Female,,P/ST/1133,Earlston,Berwick,Married,,
A/EGD/1134,Susanna,Skaitsone,,,Female,Clerkington,,Dalkeith,Edinburgh,,,Few details.
A/EGD/1135,Agnes,Rannick,,,Female,Clerkington,,Dalkeith,Edinburgh,,,Few details.
A/EGD/1136,Marioun,Tailzefeir,,,Female,Nenthorne,,,Berwick,,,
A/EGD/1137,Janet,Allane,,,Female,,P/ST/1133,Earlston,Berwick,Married,,
A/EGD/1138,Marion,Porteous,,,Female,,,,Edinburgh,,,
A/EGD/1139,Annie,Purdie,,,Female,Newhall,,,Edinburgh,,,"This may be the same person as Anne Pursell, c/jo/2790."
A/EGD/1141,Jon,Hog,,,Male,Markle,P/ST/1359,Haddington,Haddington,Married,,They had an outhouse that Hammilton slept in.
A/EGD/1142,Jean,Thomesone,,,Female,Bigend,,,Dumfries,Widowed,,See notes on accused for c/egd/1155 for details of the family's socie-econimic standing.
A/EGD/1143,Margaret,Maxwell,,,Female,Brigend,P/ST/715,Dumfries,Dumfries,Married,,"Her daughter married an important burgess.  Also the level of Privy Council intervention seems to indicate a higher status.  Her daughter was already a widow, so she was probably older than 50."
A/EGD/1144,Agnes,Campbell,Nans,,Female,,P/ST/494,Ayr,Ayr,Married,,"May have been in trouble with KS for adultery and non-appearance for punishment in 1617 (7/10/1617-17/11/1617). Husband was a burgess in Ayr, he appeared to be in trouble for adultery as well."
A/EGD/1145,Marion,Sandersoun,,,Female,,P/ST/606,Duns,Berwick,,,
A/EGD/1146,Janet,Miller,,,Female,,,Glasgow,Lanark,,,
A/EGD/1147,Grissell,Boill,,,Female,,,Glasgow,Lanark,,,
A/EGD/1148,Janet,Bishop,,,Female,,P/ST/1334,Dalkeith,Edinburgh,,,Few personal details.
A/EGD/1149,Margaret,Cuthbertson,,,Female,,P/ST/1334,Dalkeith,Edinburgh,,,Few details about accused.
A/EGD/115,John,Stewart,,,Male,,,,Orkney,,,"He was the Master of Orkney, brother germane to  Patrick, Earl of Orkney"
A/EGD/1150,Jean,Miller,,,Female,,,Glasgow,Lanark,,,
A/EGD/1151,Helen,Manderstoun (Arnot),,Lady,Female,Manderstone,,,Berwick,Married,,Very high status accused.  She divorced Sir George Home of Manderston on 10 Nov 1632.
A/EGD/1153,William,Stevinsoun,,,Male,Hirsell,,Duns,Berwick,Married,,
A/EGD/1154,Alisoun,Pringill,,,Female,Hirsell,,Duns,Berwick,Married,,
A/EGD/1155,Gellie,Robson,,,Female,Garlof,,,Dumfries,,,
A/EGD/1156,Margaret,Ballame (Baleny),,,Female,,P/ST/495,Chirnside,Berwick,,,
A/EGD/1157,Alison,Wilson,,,Female,,P/ST/804,Chirnside,Berwick,,,
A/EGD/1158,Agnes,Wilson,,,Female,,P/ST/804,Chirnside,Berwick,Widowed,,
A/EGD/1159,Janet,Mitchell,,,Female,Mains of Cardrosse,,Dunbarton,Dunbarton,Widowed,,
A/EGD/116,Alesoun,Balfour,,,Female,,P/ST/1471,Cairston,Orkney,Married,,"Her husband was described as being lxxxxj years of age (91?).  She had one son and one daughter as well, they were all tortured.  She was described as being from Ireland."
A/EGD/1160,Andrew,Abel,,,Male,Hill of Tillicarie,,Aberdeen,Aberdeen,,,reputation for 20 years (20+25=45)
A/EGD/1161,Margaret,Callander,,,Female,,,,Fife,,,
A/EGD/1162,Margaret,Rid,,,Female,,P/ST/585,Deer,Aberdeen,,,
A/EGD/1163,Janet,Currie,,,Female,,P/ST/585,Deer,Aberdeen,,,
A/EGD/1164,Jonet,Smaillie,,,Female,,P/ST/494,Ayr,Ayr,,,"In trouble with kirk session for slander and blaspheming, ?1613 & 1615. Banished in 1622.  She was an indweller of Ayr.  Possibly same person as Jonnet Smelie, c/egd/1836 (1/5/1650)."
A/EGD/1165,Jonnet,Reid,,,Female,Sandmylne,,,Ayr,,,possibly same person as c/egd/243
A/EGD/1166,Marion,Hannay,,,Female,,,,Dumfries,,,"Latter mentioned in Helen Moorheid's case in 1659, c/egd/797."
A/EGD/1167,Katherine,McCheyne,,,Female,,P/ST/1164,Lochmaben,Dumfries,,,
A/EGD/1168,Marioun,Johnstoun,Hauche,,Female,,,,Dumfries,,,
A/EGD/1169,Margaret,Affleck,,,Female,,,,Dumfries,,,
A/EGD/117,Alesoune,Jollie,,,Female,,P/ST/864,Dalkeith,Edinburgh,Married,,
A/EGD/1170,Marion,Martine,Malie Martine,,Female,Barfill,,,Dumfries,,,
A/EGD/1171,Jonet,Clerk,,,Female,Hollowyairds of Hills,,,Dumfries,Married,,
A/EGD/1172,Agnes,Kirkpatrick,,,Female,Hills of Lochretoun,P/ST/1185,Dumfries,Dumfries,,,"I think this is probably Lochrutton parish, Dumfries presbytery."
A/EGD/1173,Janet,Robsoun,,,Female,,P/ST/715,Dumfries,Dumfries,Married,,
A/EGD/1175,Mawsie,Aslownae,,,Female,,,,Dumfries,,,
A/EGD/1176,Elspet,Bladderstouns,,,Female,,P/ST/1519,Dunfermline,Fife,,,
A/EGD/1177,Margaret,Andersoun,,,Female,Ally,,,Aberdeen,Married,,
A/EGD/1178,Thomas,Grig,,,Male,Burn of Auchley,,Aberdeen,Aberdeen,,,
A/EGD/1179,Jonet,Ker,,,Female,,P/ST/895,Earlston,Berwick,,,
A/EGD/118,Cristian,Stewart,,,Female,,,,,,Vagabond,Two other women named Stewart (Issobell and Margaret) were forced to do purgation by oath that they were not also guilty of bewitching Patrick Ruthven.
A/EGD/1180,Bessie,Nisbitt,,,Female,,P/ST/513,Earlston,Berwick,,,
A/EGD/1181,Janet,Scot,,,Female,,P/ST/784,Kirkcaldy,Fife,,,
A/EGD/1182,Janet,Galbraith,,,Female,,P/ST/760,Kirkcaldy,Fife,,,
A/EGD/1183,William,Broun,,,Male,,P/ST/760,Kirkcaldy,Fife,,,
A/EGD/1184,Helen,Bissat,,,Female,,P/ST/760,Kirkcaldy,Fife,,,
A/EGD/1185,Bessie,Guiddale,,,Female,,P/ST/760,Kirkcaldy,Fife,,,
A/EGD/1187,Janet,Wilkie,,,Female,Wester Weymes,P/ST/1576,Kirkcaldy,Fife,Married,,Husband was a smith
A/EGD/1188,Margaret,Borthuick,Berdock,,Female,,,,,,,
A/EGD/1189,Elizabeth,Selkirk,,,Female,Cowsland,,Dalkeith,Edinburgh,,,
A/EGD/119,Jonet,Grawie,,,Female,,,,,,,
A/EGD/1190,Margaret,Veitche,,,Female,Cowsland,,Dalkeith,Edinburgh,,,
A/EGD/1191,Janet,Patersoun,,,Female,Cowsland,,Dalkeith,Edinburgh,,,
A/EGD/1193,Margaret,Heriot,,,Female,Caringtoun Walkemylnes,P/ST/655,Dalkeith,Edinburgh,,,
A/EGD/1194,Janet,Beverage,,,Female,,P/ST/760,Kirkcaldy,Fife,Married,,
A/EGD/1195,Alison,Neving,,,Female,,P/ST/760,Kirkcaldy,Fife,,,
A/EGD/1196,Margaret,Dasoun,,,Female,,P/ST/760,Kirkcaldy,Fife,,,
A/EGD/1197,,Samuelston (Home),,Lady,Female,,,,,Widowed,,
A/EGD/1198,Marion,Bankes,,,Female,Cousland,P/ST/660,Dalkeith,Edinburgh,Married,,Husband and daughter also accused.S/e status based on husband's occupation
A/EGD/1199,Marioun,Andersoun,,,Female,Cousland,P/ST/660,Dalkeith,Edinburgh,Married,,S/e status based on husband's occupation. Name recorded as Manderstoun in presbytery minutes.
A/EGD/12,Jonet,Carfrae,,,Female,Sammuelston,P/JO/3539,Haddington,Haddington,,,
A/EGD/120,Jonet,Stewart,,,Female,Cannongate,P/ST/654,Edinburgh,Edinburgh,,,
A/EGD/1200,John,Phenick,,,Male,Cousland,P/ST/660,Dalkeith,Edinburgh,Married,Tailor,Accused with wife and daughter.
A/EGD/1201,Giles,Swintoun,,,Male,Cousland,P/ST/660,Dalkeith,Edinburgh,,,"Few details, recorded as John in presbytery minutes"
A/EGD/1202,Christian,Steill,,,Female,Cousland,P/ST/660,Dalkeith,Edinburgh,,,Few details
A/EGD/1203,Janet,Richardson,,,Female,Cousland,P/ST/660,Dalkeith,Edinburgh,Married,,S/e status based on husband's occupation
A/EGD/1204,Agnes,Phenick,,,Female,Cousland,P/ST/660,Dalkeith,Edinburgh,Married,,Parents also accused.  Age estimated from parents
A/EGD/1205,Janet,Sinclare,,,Female,Larbrek,,,Dumfries,,,
A/EGD/1206,John,Ray,,,Male,,P/ST/715,Dumfries,Dumfries,,,This may be the same as John Rae C/LA/3336.
A/EGD/1207,Agnes,Weir,,,Female,,P/ST/715,Dumfries,Dumfries,,,
A/EGD/1208,Janet,Fergusson,,,Female,Torskechane,,,Dumfries,,,
A/EGD/1209,Isobel,Moffat,,,Female,,P/ST/715,Dumfries,Dumfries,Married,,Husband a candlemaker
A/EGD/121,Christian,Lewinstoun,,,Female,,P/ST/33,Edinburgh,Edinburgh,,,
A/EGD/1210,Janet,Herries,,,Female,Stelingtree,,,Dumfries,,,
A/EGD/1211,Marion,Ritchie,,,Female,Newtown,P/ST/494,Ayr,Ayr,,,
A/EGD/1212,Katherine,Wilson,,,Female,,P/ST/737,Duns,Berwick,Widowed,,"She owned a tenement in Duns and she and her husband had land in wadset (when he was alive), not clear where the land went after he died.  Also one accusation against her describes a man 'costing' (payment in kind for rent) 8 bailes of bere from Wilson and not paying on time."
A/EGD/1213,John,Smith,,,Male,,P/ST/737,Duns,Berwick,,Messenger,"He was described as a messanger from Duns, aged xliiii and in another document as a servant to a Lady."
A/EGD/1214,Alesone,Coline,,,Female,,P/ST/737,Duns,Berwick,,,"Also called Nisbet, but there appear to be two Alisons.  One from Duns the other from Hilton."
A/EGD/1215,Janet,Wilson,,,Female,Almernes,,,Kirkcudbright,,,
A/EGD/1216,Isobel,McNaught,,,Female,Auchlayne,,,Kirkcudbright,,,
A/EGD/1217,Katharine,Major,,,Female,Abbey of Dundrennan,P/ST/1378,Kirkcudbright,Kirkcudbright,,,
A/EGD/1218,Margaret,Haliday,,,Female,Craigtoun,,,Kirkcudbright,,,
A/EGD/1219,Bessie,Mitchell,,,Female,,P/ST/661,Dalkeith,Edinburgh,,,few details about accused.
A/EGD/122,Christian,Saidler,,,Female,Blackhous,,,Edinburgh,,,
A/EGD/1221,Marion,Aroane,,,Female,Catloche,,,Ayr,,,
A/EGD/1222,Elspet,Watsoun,,,Female,,P/ST/760,Kirkcaldy,Fife,,,
A/EGD/1224,Dod nine siacke,Moir,,,,Little Allan,,Tain,Ross,,,
A/EGD/1225,Janet,Moir,,,Female,,,Tain,Ross,,,
A/EGD/1226,Janet,Wallace,,,Female,,P/ST/1306,Ayr,Ayr,,,
A/EGD/1227,Janet,McGillichoan,,,Female,Channonrie,,Chanonry,Ross,,,?from the presbytery of Chanonry or from another settlement called this.
A/EGD/1229,Mallie,Cowper,,,Female,Fuitte,,,Aberdeen,,,"Fuittie = Footdee, a fishing village near Aberdeen"
A/EGD/123,John,Damiet,,,Male,,,,Edinburgh,,,
A/EGD/1230,Marion,Rodgie,,,Female,,P/ST/421,Aberdeen,Aberdeen,,,dwelling on the shore of Aberdeen
A/EGD/1231,Margaret,Lumsden,,,Female,Fuitte,,Aberdeen,Aberdeen,,,
A/EGD/1232,Unknown,Unknown,wife of Mathow Will,,Female,,P/ST/1341,Deer,Aberdeen,Married,,
A/EGD/1233,Unknown,Cowie,,,,Fishertown of Bownes,,,Aberdeen,,Brewster,
A/EGD/1234,Margaret,Buchane,,,Female,Fishertown of Bownes,,,Aberdeen,Married,,
A/EGD/1235,Margaret,Gilchrist,,,Female,Fishertown of Bownes,,,Aberdeen,,,
A/EGD/1584,Jonnet,Nidrie,,,Female,Gilmerton,P/ST/391,Edinburgh,Edinburgh,,,
A/EGD/1587,Gilbert,Wynd,,,Male,Gilmerton,P/ST/391,Edinburgh,Edinburgh,,,
A/EGD/1588,Margaret,Watson,,,Female,Gilmerton,P/ST/391,Edinburgh,Edinburgh,,,
